country,indicator,value
España,población_total,48848840.0
España,PIB_per_capita,35326.7683069278
España,emisiones_co2,
España,esperanza_vida,83.8829268292683
España,pobreza_extrema,0.8
Tailandia,población_total,71668011.0
Tailandia,PIB_per_capita,7346.62022142185
Tailandia,emisiones_co2,
Tailandia,esperanza_vida,76.412
Tailandia,pobreza_extrema,0.0
Brazil,población_total,211998573.0
Brazil,PIB_per_capita,10310.5488778166
Brazil,emisiones_co2,
Brazil,esperanza_vida,75.848
Brazil,pobreza_extrema,3.8
Nigeria,población_total,232679478.0
Nigeria,PIB_per_capita,1084.16041805436
Nigeria,emisiones_co2,
Nigeria,esperanza_vida,54.462
Nigeria,pobreza_extrema,41.8
Italia,población_total,58952704.0
Italia,PIB_per_capita,40385.3413957669
Italia,emisiones_co2,
Italia,esperanza_vida,83.7
Italia,pobreza_extrema,0.9
